ID,Argila,Silte,Areia Total,Al2O3,CaO,Ce,Cl,Cr,Cu,Fe,K2O,Mn,Ni,P2O5,Rb,SiO2,Sr,Ta,Ti,V,Zn,Zr
1 Média,55,9,36,226235,3015,0,327,223,18,61485,1683,384,20,0,9,289635,9,12,10030,132,24,267
2 Média,41,21,38,190290,3023,1141,659,199,16,41977,3312,142,14,895,5,304017,0,5,4947,0,29,216
3 Média,35,16,49,226787,4168,0,571,64,16,30713,3644,794,13,725,10,379825,16,9,5520,16,29,242
4 Média,41,24,35,236980,928,1093,247,207,21,51120,3376,666,32,242,8,375711,2,14,7765,106,28,252
5 Média,41,24,35,208693,5105,0,553,131,22,43351,2849,340,16,558,7,309864,12,5,6122,49,17,182
6 Média,45,14,41,212027,1641,1111,723,70,23,54266,1866,216,17,720,2,329515,6,18,6882,76,25,231
7 Média,45,13,42,220746,2849,841,557,197,14,43231,2193,147,0,812,2,318480,9,8,6371,18,22,218
8 Média,45,13,42,213118,2367,0,632,166,15,37502,2610,176,17,232,5,339002,8,9,5565,35,25,220
9 Média,51,17,32,219478,1274,1350,585,260,22,71175,2468,235,18,826,0,268085,6,17,9611,80,26,234
10 Média,56,12,32,229771,2755,427,935,347,29,81891,1538,273,24,1151,2,231098,0,19,10732,180,34,214
11 Média,49,15,36,217659,2058,738,631,68,16,41346,2326,151,13,905,4,303224,3,16,5647,0,25,207
12 Média,35,22,43,191226,6650,0,586,40,22,55546,2446,927,10,1350,9,312957,21,5,8317,85,53,231
13 Média,39,18,43,202822,6401,0,575,116,34,62814,2283,1112,19,508,8,301549,19,16,10500,162,38,268
14 Média,45,14,41,188427,2000,341,489,189,17,41733,2648,170,21,848,3,271833,5,17,7875,0,32,211
15 Média,53,22,25,229890,1908,1317,560,170,24,57577,3129,196,19,0,5,263912,5,6,8086,24,24,224
16 Média,50,22,28,193852,3479,924,550,334,39,100221,1807,346,26,1032,3,226613,5,6,13488,141,35,225
17 Média,37,23,40,159320,1998,767,595,48,23,58048,2877,997,20,523,15,307887,12,8,10277,0,36,234
18 Média,35,19,46,156583,3842,0,579,175,22,50338,1944,584,17,512,9,315264,17,0,9469,43,28,226
19 Média,33,35,32,164013,9162,0,541,120,62,84390,3577,1013,35,1029,14,284839,25,0,8327,166,82,178
20 Média,37,29,34,191986,3068,0,690,56,17,30260,3859,367,15,224,8,337586,12,10,5009,0,75,212
21 Média,47,26,27,200454,4204,0,552,109,20,48896,3083,434,16,1068,10,301354,16,10,6011,19,44,207
22 Média,32,20,48,160214,1750,0,558,74,17,29073,2611,510,16,357,8,346987,13,4,7166,69,25,303
23 Média,53,21,26,187703,219,1763,820,1230,43,101099,3175,400,190,0,10,238512,0,13,6712,25,38,134
24 Média,46,32,22,157697,3064,880,594,922,65,122229,2916,1050,170,532,13,217205,3,0,9405,97,55,141
25 Média,54,31,15,149803,1763,0,353,1317,140,158626,975,1526,250,491,7,187942,0,0,16230,372,94,180
26 Média,51,37,12,216635,873,0,586,1599,114,38687,2935,129,267,0,4,313987,9,6,8660,254,57,130
27 Média,54,39,7,194321,1184,1855,292,1142,76,131503,2675,447,128,958,13,219422,0,0,10990,169,46,152
28 Média,36,17,47,155761,1689,356,450,891,42,83454,1547,353,130,1077,3,348876,0,0,11694,173,46,174
29 Média,47,31,22,182333,3338,407,324,1638,29,121710,1774,491,70,736,8,216834,3,0,9709,134,29,171
30 Média,31,23,46,237682,1827,0,530,31,11,20504,3269,367,22,0,7,368078,14,13,3241,0,48,187
31 Média,32,24,44,217413,2544,344,636,57,20,39920,3831,533,16,1242,11,356178,15,12,6070,39,44,194
32 Média,42,23,35,185878,4023,465,519,170,45,93573,2489,645,20,240,6,253809,6,12,13252,196,43,263
33 Média,52,20,28,243738,2395,387,377,472,21,73505,1563,305,36,484,0,213150,9,21,10004,108,22,218
34 Média,38,18,44,245797,2388,711,514,541,26,51366,3989,277,70,279,9,338565,5,10,5178,71,27,142
35 Média,54,33,13,163449,5234,0,339,5910,95,187076,1103,579,750,896,12,146565,0,0,9453,462,81,98
36 Média,45,44,11,142994,7492,0,463,1604,106,173776,2132,1162,127,1216,12,179526,0,0,15357,318,94,145
37 Média,34,46,20,183687,5438,0,299,1955,48,166937,1277,635,113,0,9,124462,0,0,16650,346,118,190
38 Média,44,42,14,191692,2029,494,119,1488,53,171448,801,555,119,638,3,156049,0,9,15568,262,43,241
39 Média,61,26,13,201841,777,1129,95,2557,46,159397,912,280,103,0,3,163868,0,14,14534,268,40,247
40 Média,62,29,9,202297,1170,450,303,2452,57,155103,1165,396,140,0,0,204565,0,6,11329,249,35,197
41 Média,40,28,32,125529,16782,0,515,0,54,116140,2559,1318,22,1090,12,253993,32,0,18308,242,70,195
42 Média,33,30,37,240207,1341,0,507,41,12,23081,5085,383,9,517,10,388739,11,10,2894,0,32,142
43 Média,35,16,49,227750,4105,0,470,39,12,23189,2438,164,13,864,2,389105,12,13,3442,37,25,171
44 Média,40,26,34,190026,3944,0,411,299,45,88738,3869,913,79,1009,14,299826,12,13,12296,151,41,212
45 Média,34,24,42,161930,15008,0,515,107,67,70374,3463,801,13,2671,16,273841,37,0,7487,131,79,170
46 Média,30,22,48,143754,14023,0,409,241,22,37024,2082,1106,27,960,4,352103,32,0,9035,18,31,181
47 Média,54,26,20,147518,6968,0,594,3042,59,138995,847,830,267,0,10,167391,6,0,13009,283,53,152
48 Média,52,34,14,164391,2543,0,469,1324,40,174670,1134,506,57,254,9,119532,0,7,15514,359,33,255
49 Média,60,20,20,150385,1640,769,609,677,39,129618,1089,527,40,227,2,163830,0,6,15729,224,37,253
50 Média,60,24,16,179961,1578,547,478,400,25,114459,1002,370,21,0,0,151823,0,12,13148,127,23,332
51 Média,54,24,22,172998,5757,0,339,1296,50,136558,1630,355,84,1081,4,159901,12,0,12629,297,39,263
52 Média,30,43,27,181858,2120,0,548,527,31,78499,1202,275,18,1343,0,145401,6,8,12753,205,17,209
53 Média,54,14,32,187601,2190,748,502,772,28,96168,1538,472,31,466,2,220437,12,10,11643,56,27,275
54 Média,30,31,39,167829,9769,0,686,173,16,35449,4563,843,14,1018,16,298598,41,0,3755,0,50,124
55 Média,29,35,36,228565,3755,0,757,130,11,28395,2015,194,11,219,0,325742,12,18,3401,0,16,184
56 Média,73,14,13,139584,716,901,468,1536,44,164440,962,487,102,279,10,134047,0,0,13910,214,32,205
57 Média,50,23,27,130945,8472,0,549,25,34,80257,1278,511,24,658,3,222992,23,0,8665,0,27,277
58 Média,38,16,46,167770,1689,0,712,62,19,37844,2531,167,26,324,0,298217,9,0,5106,0,15,202
59 Média,62,23,15,165483,3303,0,645,616,44,132594,1012,360,11,234,3,169060,0,8,14601,231,26,325
60 Média,44,24,32,194188,6543,0,497,165,31,84259,1064,277,7,1648,0,160969,18,20,11921,188,28,273
61 Média,50,29,21,169218,7492,0,523,416,43,108735,1416,445,15,1274,0,209108,9,0,11733,209,36,205
62 Média,32,24,44,167785,5699,0,543,13,10,15902,4937,487,12,763,14,354425,35,8,2428,0,36,140
63 Média,52,15,33,185131,492,804,612,565,21,57844,1347,139,35,198,0,230498,0,13,7185,0,17,168
64 Média,51,35,14,147601,6397,0,299,926,94,170969,916,902,106,2313,4,122799,42,0,13156,400,82,186
65 Média,54,23,23,147318,8913,0,508,204,33,98745,1185,739,10,0,3,223683,19,13,11651,172,53,232
66 Média,42,34,24,130299,66013,0,572,55,61,94606,2183,1248,41,668,14,229512,158,5,11000,156,61,237
67 Média,30,30,40,103111,6674,0,814,783,31,65436,5559,927,241,878,19,324948,27,0,7702,24,36,260
68 Média,49,7,44,179471,3429,0,461,195,18,38793,1939,456,26,1328,3,320188,18,8,10529,82,22,292
69 Média,57,15,28,170627,4712,840,548,587,44,85977,1932,351,30,1548,0,250866,12,0,10096,108,45,220
70 Média,42,8,50,163056,3544,1315,788,0,25,59497,2167,366,0,1402,0,266481,17,10,9074,0,44,218
71 Média,46,29,25,166021,11862,0,217,248,36,118627,1132,561,31,568,0,149479,46,8,13637,228,29,277
72 Média,62,17,21,158164,4834,572,656,351,41,113576,1708,599,32,905,8,194192,13,0,13377,159,33,241
73 Média,51,22,27,157619,4667,753,569,146,45,85234,3204,1273,65,545,12,284269,18,0,12375,63,39,251
74 Média,39,21,40,153601,3837,1141,380,334,48,72832,3552,1016,150,566,15,302468,25,0,9692,20,52,299
75 Média,43,25,32,161222,4185,796,445,392,50,88429,4121,2153,192,563,21,305203,6,5,9715,47,123,220
76 Média,27,23,50,120972,4803,0,550,0,21,42260,13305,1158,5,546,64,361504,21,0,9974,23,57,284
77 Média,39,15,46,177958,11680,0,518,89,28,58730,2946,600,20,909,14,307206,23,4,7361,21,29,184
78 Média,48,7,45,185984,3595,0,618,91,23,54748,1427,181,4,733,0,267584,16,10,6386,0,25,250
79 Média,41,11,48,174559,3369,0,542,242,18,39605,2818,161,19,1109,5,312573,21,0,7582,22,20,288
80 Média,43,32,25,135596,20453,0,427,2646,50,150070,2800,1415,547,935,14,220597,37,0,10963,195,44,182
81 Média,38,31,31,144220,8271,0,244,839,56,121936,3606,859,119,1314,17,245465,19,0,13434,243,62,210
82 Média,24,25,51,141391,5216,0,616,198,29,33952,25849,875,59,542,75,414752,17,0,5250,47,43,156
83 Média,19,21,60,133363,8225,0,894,0,10,19048,34101,563,3,910,138,404403,35,0,3321,0,39,148
84 Média,46,21,33,150628,13862,0,455,0,50,107254,2189,1216,11,573,10,245020,19,0,16920,182,32,227
85 Média,39,16,45,205033,1349,710,534,36,17,41279,4958,518,29,518,16,360346,31,6,6656,17,29,281
86 Média,37,19,44,129926,6405,335,518,1717,39,99411,4621,1436,472,1443,21,294518,19,0,9134,70,64,200
87 Média,33,13,54,152867,4178,724,470,267,44,63940,4510,1286,64,1235,23,311293,11,0,9854,19,43,230
88 Média,46,25,29,147227,14443,0,629,85,33,69720,4074,1014,15,246,21,265130,37,5,10355,77,33,216
89 Média,39,5,56,167704,5714,0,540,74,13,49159,1483,517,0,0,2,298857,13,5,8756,0,20,307
90 Média,30,13,57,179512,5645,0,586,135,16,34575,5553,859,40,1046,20,376498,31,0,6200,0,28,259
91 Média,71,5,24,226274,3959,0,531,322,26,72356,917,266,46,0,4,198850,13,18,11233,286,19,260
92 Média,49,16,35,227036,695,1599,587,484,22,61706,4051,139,26,0,8,291768,2,8,5743,0,31,213
93 Média,55,7,38,248444,657,1479,528,155,11,41937,3060,71,13,515,8,303005,9,17,5803,0,32,223
94 Média,60,13,27,221098,616,1557,529,280,25,65006,2420,139,39,0,6,272632,0,19,7078,29,29,171
95 Média,50,11,39,219170,133,1260,530,245,24,52170,3368,231,25,0,7,297675,2,10,7350,23,20,198
96 Média,55,12,33,243346,245,1822,597,110,28,67773,1684,205,0,243,0,266945,0,17,7651,27,21,220
97 Média,54,11,35,266289,327,1455,612,259,16,55876,1983,78,18,0,0,276755,0,19,6979,0,20,213
98 Média,60,6,34,254734,0,1355,609,208,17,49392,2233,95,18,265,4,262662,0,19,5938,0,23,196
99 Média,59,10,31,219412,891,1619,708,306,26,77453,2177,233,21,0,5,242888,2,12,10411,63,22,218
100 Média,65,4,31,225517,508,1519,564,420,31,87065,1091,251,29,0,0,213360,0,23,11621,84,22,251
101 Média,54,6,40,249377,765,1362,592,102,15,46891,1982,89,12,476,2,282348,0,19,5740,0,20,191
102 Média,65,8,27,265376,281,1658,499,163,26,74061,1799,312,12,0,0,259284,2,24,7787,28,25,205
103 Média,59,6,35,265832,531,1430,476,169,38,54607,1454,126,22,226,0,262079,2,23,8031,174,27,182
104 Média,64,6,30,257802,366,1422,809,275,22,55809,1815,123,24,0,2,245540,0,22,7924,0,20,197
105 Média,58,18,24,271379,349,1593,550,226,21,62874,2863,169,18,206,2,272061,0,11,7880,56,20,206
106 Média,62,10,28,218671,313,1513,556,327,40,106307,1479,367,33,0,4,231641,0,19,14392,172,24,243
107 Média,45,22,33,187946,780,1418,667,93,29,77108,3679,889,30,0,29,307477,11,5,13713,55,41,266
108 Média,46,6,48,206455,1213,826,502,156,20,60438,1810,389,15,440,2,294823,8,5,11961,39,23,253
109 Média,63,18,19,166234,346,1800,770,171,108,142450,1812,946,50,905,12,221903,0,0,14223,275,74,252
110 Média,58,0,42,224859,605,1040,553,65,11,30062,4924,100,15,254,11,336314,0,16,4540,0,43,212
111 Média,39,10,51,208832,2153,750,609,128,18,45706,3016,266,13,1156,7,306823,9,18,5912,24,39,180
112 Média,32,5,63,206057,638,255,703,101,17,29904,3036,269,22,0,5,338492,4,13,8994,73,26,305
113 Média,57,18,25,175429,778,1737,722,1729,55,121144,3020,595,252,0,11,226671,0,0,7786,59,44,131
114 Média,56,18,26,166241,465,1928,464,971,67,127452,2815,744,187,0,12,209279,0,6,10044,0,50,142
115 Média,46,38,16,185806,346,2077,400,1238,141,167627,1730,894,276,293,12,200871,0,0,12949,223,86,187
116 Média,37,28,35,217617,283,0,590,1148,80,36320,4573,160,228,0,10,321345,3,7,11096,309,55,169
117 Média,59,23,18,151507,71,1300,435,1937,84,162451,1774,1260,203,0,12,205785,0,0,12587,212,46,130
118 Média,67,14,19,167565,723,1030,506,1532,62,108611,1049,297,284,0,0,284605,0,0,11939,281,49,187
119 Média,58,17,25,187746,870,1451,676,1778,36,127819,1906,457,66,280,6,211293,0,7,10663,45,27,184
120 Média,38,20,42,226706,210,0,757,13,10,22854,3077,103,25,0,2,350985,8,16,3487,0,52,175
121 Média,40,20,40,235490,1425,351,585,59,17,40861,4253,486,17,0,14,350021,7,16,5454,34,44,192
122 Média,50,15,35,224716,1385,1367,448,418,35,86161,1856,487,54,0,6,243983,0,17,12331,151,27,274
123 Média,60,8,32,232188,0,1779,506,606,41,72937,1363,239,86,0,0,234532,0,13,9182,22,26,229
124 Média,44,18,38,239786,302,884,508,495,27,48663,3742,57,78,226,0,303677,0,17,4458,21,27,130
125 Média,63,19,18,161863,0,526,362,6775,118,202181,932,538,944,0,17,143298,0,0,10443,488,88,131
126 Média,56,33,11,165393,0,0,587,1864,107,197455,1293,955,130,0,15,169966,0,9,16298,335,35,195
127 Média,62,18,20,177509,0,386,91,2283,50,171191,885,346,134,0,8,118562,0,0,16280,361,35,217
128 Média,59,27,14,176311,506,374,394,1520,58,176394,749,450,98,0,4,144196,0,0,15665,294,34,238
129 Média,72,15,13,183156,0,640,373,2618,47,162643,791,314,109,0,11,143860,0,17,14184,310,29,266
130 Média,64,25,11,172599,116,432,545,2502,60,155141,869,285,162,0,7,178067,0,0,11082,205,37,192
131 Média,54,22,24,150493,0,1858,413,0,60,142393,2586,736,10,688,12,238700,0,7,15598,164,73,234
132 Média,37,21,42,213858,348,0,630,25,8,23494,5014,70,9,252,9,338863,7,15,2831,0,45,156
133 Média,46,10,44,217869,996,0,856,79,8,30033,2228,0,9,0,2,309056,4,22,3957,0,22,154
134 Média,76,5,19,174295,576,1569,445,428,48,106475,2251,432,132,0,9,218274,0,15,10920,0,35,150
135 Média,57,10,33,113476,3493,456,540,177,93,123171,1552,1269,18,269,12,171167,0,6,11229,264,47,205
136 Média,41,8,51,189991,215,1222,513,290,20,47479,2337,787,57,0,10,327233,0,17,8110,0,37,243
137 Média,75,10,15,156995,0,382,518,3751,66,160047,858,0,329,0,12,110845,0,8,11184,346,43,150
138 Média,71,14,15,141245,52,0,509,1232,32,166707,705,493,72,0,6,101184,0,0,15455,413,26,256
139 Média,69,11,20,151090,0,386,588,908,48,147191,1003,502,59,0,0,153510,0,16,16284,262,37,306
140 Média,69,11,20,166429,0,408,500,496,26,119687,761,385,18,0,0,142800,0,6,13819,154,17,335
141 Média,69,11,20,162305,51,502,593,1459,41,139293,897,243,89,0,3,138389,0,15,12459,221,26,262
142 Média,0,0,0,149019,0,418,999,387,33,25580,1136,0,17,958,0,88892,0,15,11149,0,8,138
143 Média,67,6,27,160653,340,1069,640,721,19,96997,1072,319,30,0,3,153241,2,22,11287,33,20,291
144 Média,49,10,41,191578,979,349,809,12,11,21711,6359,416,16,244,14,320012,8,10,2821,0,44,130
145 Média,41,17,42,159826,1033,1247,640,0,20,61475,8502,447,10,0,52,271608,13,0,8414,0,39,232
146 Média,75,12,13,165894,0,825,319,1661,43,176849,841,570,117,0,8,131830,0,8,15017,222,35,230
147 Média,61,15,24,170528,0,2039,647,116,43,92622,1517,325,18,421,0,239252,10,6,9575,0,27,354
148 Média,48,13,39,194103,0,1267,701,109,23,48237,2665,144,40,0,0,258092,0,7,5283,0,14,273
149 Média,72,12,16,179190,0,577,525,712,43,143931,789,465,23,0,3,151641,0,15,15856,221,24,351
150 Média,64,6,30,218327,0,958,542,234,16,88770,839,252,14,0,0,148109,0,25,12727,35,14,287
151 Média,65,17,18,172132,0,1556,653,574,37,119774,956,376,17,0,6,188436,0,21,12115,49,26,247
152 Média,36,17,47,199177,557,0,730,0,10,17632,5450,138,9,123,11,356197,18,9,2412,0,35,151
153 Média,60,10,30,203766,0,1351,734,611,21,62629,1137,121,45,0,0,227279,0,19,6907,0,18,189
154 Média,63,25,12,161581,386,396,600,1152,92,180549,893,894,115,0,13,118211,0,0,13251,419,69,179
155 Média,67,10,23,156577,1379,679,695,522,55,121662,1216,727,61,287,0,182342,2,6,11565,162,57,221
156 Média,65,18,17,147598,1689,1594,348,170,66,115242,1431,619,43,522,4,204360,3,6,12165,41,56,222
157 Média,69,5,26,174989,737,0,556,3996,68,164963,1082,410,354,233,8,150650,0,0,12528,368,52,165
158 Média,40,25,35,247618,1336,787,719,341,18,49903,1713,119,32,0,2,287251,9,15,8829,88,21,236
159 Média,66,13,21,187014,249,1823,437,764,26,97979,1740,184,42,310,9,234503,0,19,9321,0,27,210
160 Média,46,11,43,177051,260,1671,817,0,18,65788,1489,233,0,281,2,233012,8,19,8776,0,22,240
161 Média,69,8,23,165895,0,486,504,381,34,128879,1048,533,35,0,3,128053,0,14,15450,228,29,331
162 Média,67,9,24,187436,615,891,251,383,49,119362,1568,548,27,239,3,196426,3,6,12979,171,31,307
163 Média,51,17,32,206853,256,1378,700,204,37,81726,3380,764,70,306,10,307838,2,7,10000,47,39,273
164 Média,60,14,26,199521,1323,1900,881,416,51,91345,2728,420,173,498,9,257310,11,15,7327,0,39,217
165 Média,48,33,19,200687,1278,1613,576,577,64,102830,3356,777,239,0,16,313815,0,7,8700,75,111,197
166 Média,29,37,34,293321,58,764,741,97,13,26586,2258,0,5,0,0,373362,2,18,2792,0,14,152
167 Média,45,12,43,217220,158,1466,808,99,24,63641,3084,277,23,228,15,268920,2,11,6553,0,27,239
168 Média,45,18,37,213567,270,455,727,137,20,62881,1338,168,11,0,0,239510,0,18,6753,0,14,245
170 Média,56,26,18,145067,530,1490,613,3301,64,161106,2315,850,717,0,16,204769,0,0,10181,65,59,201
171 Média,44,26,30,151716,1671,1485,635,532,70,100695,3682,1092,182,0,19,262659,11,0,9971,71,81,211
172 Média,29,22,49,150617,1155,387,824,241,39,43987,20889,541,81,0,93,319935,11,0,5387,0,41,178
173 Média,37,4,59,160937,1819,0,793,0,12,26623,32791,356,9,0,221,346697,28,11,3538,0,45,215
174 Média,45,19,36,154892,0,1427,477,48,64,125846,1963,1142,17,287,9,241603,0,7,17990,156,30,317
175 Média,56,16,28,248635,898,1588,543,134,17,58077,3213,203,34,502,12,271377,24,19,4904,0,26,189
176 Média,43,23,34,149006,1581,1660,510,1796,46,108687,5092,1397,657,201,27,268809,3,0,9164,38,51,260
177 Média,54,10,36,159413,850,1641,658,256,51,77223,2697,538,65,239,16,229830,0,0,7103,0,34,193
178 Média,45,16,39,157960,804,1272,688,124,29,64322,5238,643,26,0,26,274422,4,0,11280,49,26,346
179 Média,45,8,47,200204,137,1528,704,155,16,60877,1541,304,18,0,3,279935,4,13,9022,0,19,353
180 Média,56,10,34,244996,489,1508,844,128,12,44706,3914,112,37,222,15,283643,25,22,4301,0,25,188
LBR_227 Média,58,29,13,131697,793,0,412,3611,155,209806,825,835,402,0,20,145368,0,0,13100,418,73,149
LBR_228 Média,61,16,23,177523,0,1663,402,310,38,98556,2101,349,38,0,5,204779,0,0,12981,42,25,227
LBR_208 Média,50,19,31,162425,901,1638,180,160,15,48028,4196,57,11,0,5,200633,0,19,9117,0,25,203
LBR_236 Média,34,12,54,240769,415,0,749,151,17,12970,4049,113,32,0,9,391344,2,10,7262,87,28,358
LBR_229 Média,51,8,41,175520,274,1364,441,83,33,67351,1698,588,20,515,7,256522,0,6,10460,104,32,231
LBR_209 Média,50,13,37,138166,71,1048,214,76,18,50331,2122,43,7,0,5,204243,0,8,6770,0,17,172
LBR_210 Média,52,11,37,176913,318,1352,436,134,22,51656,2958,97,42,0,8,229571,0,6,6407,0,31,151
LBR_211 Média,68,5,27,258773,0,1890,389,712,26,86883,1746,135,60,0,3,230427,0,16,7152,0,19,164
LBR_230 Média,38,30,32,217185,0,1259,585,422,18,42698,5181,0,77,0,8,288494,0,16,4352,0,28,142
LBR_212 Média,37,31,32,221157,99,1201,383,113,15,41967,5763,102,18,0,9,283663,0,13,5159,0,23,188
LBR_231 Média,17,39,44,239382,564,1289,587,126,14,34955,8615,36,101,210,6,301550,16,20,4137,0,64,181
LBR_213 Média,46,37,17,101877,0,1999,302,0,73,150019,2229,1027,42,0,19,176225,0,0,15867,155,85,230
LBR_232 Média,58,12,30,217337,302,1554,609,199,14,52207,2475,92,19,0,4,217443,0,25,6615,0,20,236
LBR_214 Média,57,13,30,208995,520,1605,659,172,19,60191,3360,136,23,209,7,240534,13,14,5583,0,17,215
LBR_215 Média,63,16,21,193665,308,1802,607,193,46,96551,2627,326,35,0,6,230137,0,12,9309,31,22,271
LBR_216 Média,54,27,19,109441,457,1495,413,3772,83,212046,1783,1663,2276,0,25,163860,0,0,10043,39,59,166
LBR_217 Média,61,12,27,200086,864,1772,946,214,16,58918,3092,183,67,426,10,235214,20,17,5517,0,29,195
LBR_233 Média,43,11,46,130986,749,789,514,1032,31,70255,4155,717,189,0,20,269844,7,0,12318,72,44,307
LBR_218 Média,72,11,17,217066,0,1569,540,247,17,83306,1094,259,7,0,0,219157,0,23,10645,27,17,279
LBR_219 Média,72,16,12,169147,0,369,259,2956,64,176894,789,147,205,0,7,144071,0,10,14005,343,44,262
LBR_220 Média,73,7,20,168580,0,1276,96,439,41,130340,1856,456,22,0,7,180940,0,9,12932,109,30,328
LBR_221 Média,50,20,30,250578,0,1616,609,302,25,50954,2157,96,53,0,6,281058,2,18,4692,0,21,149
LBR_222 Média,75,13,12,181174,0,975,205,3270,77,173015,991,313,352,0,6,167990,0,0,11374,303,37,194
LBR_223 Média,38,14,48,218635,0,0,589,353,18,36714,2190,92,76,239,0,353214,0,4,3881,0,30,162
LBR_224 Média,36,13,51,224327,656,0,417,85,11,26384,3415,138,27,0,4,342172,8,12,4973,0,38,226
LBR_225 Média,73,18,9,151531,0,363,365,5471,83,209150,898,144,576,0,14,106405,0,0,12633,624,56,164
LBR_226 Média,57,10,33,209651,320,1456,542,66,15,50192,2296,132,11,0,3,241322,2,18,7404,0,34,216
LBR_234 Média,70,9,21,153206,1117,0,639,1018,47,105914,1214,410,89,0,6,155152,0,8,14461,348,23,239